序号,班级编号,班级名称,性别,身高_cm,体重_kg,BMI分数,体重分数,体重等级,肺活量_ml,肺活量分数,肺活量等级,50米跑_秒,50米跑分数,50米跑等级,坐位体前屈_cm,坐位体前屈分数,坐位体前屈等级,跳绳_个,跳绳分数,跳绳等级,跳绳附加分,标准分数,附加分,总分数,总分等级,性别_文字,BMI_计算
1,2019101,小学2019级1班,2,119,22,15.5,100,正常,1023,80.0,良好,11.9,78.0,及格,8.4,70.0,及格,28.0,62.0,及格,,76.0,0,76.0,及格,女,15.535626015111928
2,2019101,小学2019级1班,1,122,23,15.5,100,正常,1216,76.0,及格,11.6,70.0,及格,3.0,64.0,及格,53.0,70.0,及格,,73.6,0,73.6,及格,男,15.452835259338888
3,2019101,小学2019级1班,1,121,24,16.4,100,正常,1347,80.0,良好,12.6,60.0,及格,6.0,70.0,及格,37.0,64.0,及格,,72.8,0,72.8,及格,男,16.392322928761697
4,2019101,小学2019级1班,1,114,20,15.4,100,正常,927,66.0,及格,12.0,66.0,及格,3.0,64.0,及格,42.0,66.0,及格,,70.5,0,70.5,及格,男,15.389350569405973
5,2019101,小学2019级1班,2,115,19,14.4,100,正常,1017,80.0,良好,13.4,64.0,及格,15.0,85.0,良好,25.0,62.0,及格,,77.7,0,77.7,及格,女,14.366729678638944
6,2019101,小学2019级1班,1,116,22,16.3,100,正常,1306,80.0,良好,12.1,64.0,及格,7.0,72.0,及格,51.0,68.0,及格,,75.0,0,75.0,及格,男,16.34958382877527
7,2019101,小学2019级1班,1,118,23,16.5,100,正常,1108,72.0,及格,12.3,62.0,及格,12.0,85.0,良好,87.0,80.0,良好,,79.7,0,79.7,及格,男,16.518241884515945
8,2019101,小学2019级1班,2,112,20,15.9,100,正常,759,66.0,及格,11.3,85.0,良好,12.0,76.0,及格,103.0,90.0,优秀,,82.7,0,82.7,良好,女,15.943877551020407
9,2019101,小学2019级1班,2,116,20,14.9,100,正常,758,66.0,及格,12.2,76.0,及格,11.0,74.0,及格,47.0,68.0,及格,,75.9,0,75.9,及格,女,14.863258026159334
10,2019101,小学2019级1班,1,110,18,14.9,100,正常,853,64.0,及格,12.5,60.0,及格,7.0,72.0,及格,67.0,74.0,及格,,73.0,0,73.0,及格,男,14.876033057851238
11,2019101,小学2019级1班,2,122,23,15.5,100,正常,1020,80.0,良好,11.5,85.0,良好,10.0,72.0,及格,110.0,95.0,优秀,,84.6,0,84.6,良好,女,15.452835259338888
12,2019101,小学2019级1班,2,115,21,15.9,100,正常,1258,90.0,优秀,11.3,85.0,良好,15.2,85.0,良好,117.0,100.0,优秀,,91.0,0,91.0,优秀,女,15.879017013232517
13,2019101,小学2019级1班,2,112,20,15.9,100,正常,1007,80.0,良好,11.9,78.0,及格,7.0,68.0,及格,84.0,78.0,及格,,78.6,0,78.6,及格,女,15.943877551020407
14,2019101,小学2019级1班,1,126,35,22.0,60,肥胖,1500,90.0,优秀,12.3,62.0,及格,6.0,70.0,及格,71.0,74.0,及格,,70.7,0,70.7,及格,男,22.045855379188712
15,2019101,小学2019级1班,2,114,19,14.6,100,正常,1057,80.0,良好,12.0,78.0,及格,17.0,90.0,优秀,53.0,70.0,及格,,83.6,0,83.6,良好,女,14.619883040935674
16,2019101,小学2019级1班,1,122,25,16.8,100,正常,1474,85.0,良好,12.5,60.0,及格,10.0,78.0,及格,21.0,60.0,及格,,75.15,0,75.15,及格,男,16.79656006449879
17,2019101,小学2019级1班,2,108,17,14.6,100,正常,834,70.0,及格,12.8,70.0,及格,9.0,72.0,及格,67.0,74.0,及格,,75.9,0,75.9,及格,女,14.574759945130314
18,2019101,小学2019级1班,2,118,22,15.8,100,正常,1474,100.0,优秀,11.5,85.0,良好,16.0,90.0,优秀,115.0,95.0,优秀,,93.0,0,93.0,优秀,女,15.800057454754382
19,2019101,小学2019级1班,1,115,21,15.9,100,正常,1059,70.0,及格,10.2,100.0,优秀,9.0,76.0,及格,61.0,72.0,及格,,82.7,0,82.7,良好,男,15.879017013232517
20,2019101,小学2019级1班,2,121,22,15.0,100,正常,745,66.0,及格,13.0,68.0,及格,17.0,90.0,优秀,71.0,74.0,及格,,80.3,0,80.3,良好,女,15.026296018031555
21,2019101,小学2019级1班,1,114,21,16.2,100,正常,1228,76.0,及格,12.6,60.0,及格,8.0,74.0,及格,27.0,62.0,及格,,73.0,0,73.0,及格,男,16.15881809787627
22,2019101,小学2019级1班,2,118,21,15.1,100,正常,1393,95.0,优秀,11.3,85.0,良好,16.0,90.0,优秀,95.0,85.0,良好,,90.25,0,90.25,优秀,女,15.08187302499282
23,2019101,小学2019级1班,1,117,20,14.6,100,正常,811,62.0,及格,11.8,68.0,及格,7.0,72.0,及格,66.0,74.0,及格,,74.3,0,74.3,及格,男,14.610271020527433
24,2019102,小学2019级2班,2,120,20,13.9,100,正常,1503,100.0,优秀,11.5,85.0,良好,15.9,85.0,良好,97.0,85.0,良好,,89.5,0,89.5,良好,女,13.88888888888889
25,2019102,小学2019级2班,1,119,29,20.5,60,肥胖,1534,90.0,优秀,12.6,60.0,及格,4.0,66.0,及格,62.0,72.0,及格,,68.7,0,68.7,及格,男,20.478779747192995
26,2019102,小学2019级2班,1,121,22,15.0,100,正常,1012,70.0,及格,12.5,60.0,及格,5.0,68.0,及格,47.0,68.0,及格,,71.5,0,71.5,及格,男,15.026296018031555
27,2019102,小学2019级2班,1,122,27,18.1,100,正常,965,68.0,及格,11.5,70.0,及格,10.0,78.0,及格,66.0,74.0,及格,,77.4,0,77.4,及格,男,18.140284869658693
28,2019102,小学2019级2班,2,121,23,15.7,100,正常,1235,90.0,优秀,13.1,66.0,及格,5.0,64.0,及格,124.0,100.0,优秀,3.0,80.9,3,83.9,良好,女,15.709309473396626
29,2019102,小学2019级2班,2,123,26,17.2,100,正常,1083,80.0,良好,11.6,80.0,良好,14.0,80.0,良好,91.0,80.0,良好,,83.0,0,83.0,良好,女,17.18553770903563
30,2019102,小学2019级2班,2,124,27,17.6,80,超重,1661,100.0,优秀,10.5,100.0,优秀,14.0,80.0,良好,90.0,80.0,良好,,87.0,0,87.0,良好,女,17.559833506763788
31,2019102,小学2019级2班,1,120,23,16.0,100,正常,1661,95.0,优秀,10.2,100.0,优秀,12.6,85.0,良好,99.0,90.0,优秀,,92.75,0,92.75,优秀,男,15.972222222222223
32,2019102,小学2019级2班,2,120,22,15.3,100,正常,1375,95.0,优秀,11.8,80.0,良好,15.0,85.0,良好,118.0,100.0,优秀,,90.75,0,90.75,优秀,女,15.277777777777779
33,2019102,小学2019级2班,1,123,23,15.2,100,正常,1057,70.0,及格,11.0,76.0,及格,8.0,74.0,及格,65.0,72.0,及格,,77.3,0,77.3,及格,男,15.202591050300748
34,2019102,小学2019级2班,2,120,21,14.6,100,正常,1304,95.0,优秀,11.6,80.0,良好,8.0,70.0,及格,73.0,76.0,及格,,81.45,0,81.45,良好,女,14.583333333333334
35,2019102,小学2019级2班,2,116,18,13.4,100,正常,924,76.0,及格,12.5,72.0,及格,15.0,85.0,良好,98.0,85.0,良好,,83.3,0,83.3,良好,女,13.376932223543403
36,2019102,小学2019级2班,2,116,21,15.6,100,正常,1117,85.0,良好,13.8,60.0,及格,14.0,80.0,良好,71.0,74.0,及格,,78.55,0,78.55,及格,女,15.606420927467301
37,2019102,小学2019级2班,1,123,26,17.2,100,正常,1292,78.0,及格,9.8,100.0,优秀,15.0,95.0,优秀,125.0,100.0,优秀,8.0,95.2,8,103.2,优秀,男,17.18553770903563
38,2019102,小学2019级2班,2,117,20,14.6,100,正常,845,72.0,及格,12.3,74.0,及格,9.5,72.0,及格,52.0,70.0,及格,,76.2,0,76.2,及格,女,14.610271020527433
39,2019102,小学2019级2班,2,111,21,17.0,100,正常,623,60.0,及格,13.5,62.0,及格,9.0,72.0,及格,24.0,62.0,及格,,70.4,0,70.4,及格,女,17.044071098125148
40,2019102,小学2019级2班,1,115,25,18.9,80,超重,937,66.0,及格,11.6,70.0,及格,6.0,70.0,及格,50.0,68.0,及格,,70.5,0,70.5,及格,男,18.903591682419663
41,2019102,小学2019级2班,1,116,21,15.6,100,正常,818,62.0,及格,11.3,72.0,及格,6.0,70.0,及格,80.0,78.0,及格,,75.3,0,75.3,及格,男,15.606420927467301
42,2019102,小学2019级2班,2,110,20,16.5,100,正常,717,64.0,及格,13.3,64.0,及格,15.0,85.0,良好,80.0,78.0,及格,,78.5,0,78.5,及格,女,16.52892561983471
43,2019102,小学2019级2班,1,113,18,14.1,100,正常,775,62.0,及格,11.9,66.0,及格,3.0,64.0,及格,19.0,60.0,及格,,68.7,0,68.7,及格,男,14.09664030072833
44,2019102,小学2019级2班,2,117,21,15.3,100,正常,1336,95.0,优秀,11.9,78.0,及格,9.0,72.0,及格,30.0,62.0,及格,,78.85,0,78.85,及格,女,15.340784571553804
45,2019102,小学2019级2班,1,111,20,16.2,100,正常,824,64.0,及格,12.6,60.0,及格,5.0,68.0,及格,34.0,64.0,及格,,69.8,0,69.8,及格,男,16.232448664881094
46,2018101,小学2018级1班,1,116,20,14.9,100,正常,1283,72.0,及格,12.0,60.0,及格,7.0,72.0,及格,52.0,66.0,及格,,72.6,0,72.6,及格,男,14.863258026159334
47,2018101,小学2018级1班,1,123,23,15.2,100,正常,1396,76.0,及格,11.0,70.0,及格,9.0,76.0,及格,95.0,80.0,良好,,79.2,0,79.2,及格,男,15.202591050300748
48,2018101,小学2018级1班,1,126,27,17.0,100,正常,1929,95.0,优秀,12.0,60.0,及格,3.0,66.0,及格,93.0,78.0,及格,,76.65,0,76.65,及格,男,17.006802721088434
49,2018101,小学2018级1班,2,130,26,15.4,100,正常,702,60.0,及格,11.8,70.0,及格,11.0,74.0,及格,86.0,76.0,及格,,75.4,0,75.4,及格,女,15.384615384615383
50,2018101,小学2018级1班,2,120,21,14.6,100,正常,838,64.0,及格,11.8,70.0,及格,16.0,85.0,良好,75.0,72.0,及格,,78.5,0,78.5,及格,女,14.583333333333334
51,2018101,小学2018级1班,2,124,24,15.6,100,正常,1232,80.0,良好,11.3,74.0,及格,15.0,85.0,良好,108.0,85.0,良好,,84.3,0,84.3,良好,女,15.608740894901144
52,2018101,小学2018级1班,2,128,27,16.5,100,正常,1635,100.0,优秀,11.8,70.0,及格,10.0,74.0,及格,68.0,70.0,及格,,80.2,0,80.2,良好,女,16.4794921875
53,2018101,小学2018级1班,2,121,20,13.7,100,正常,1121,76.0,及格,11.3,74.0,及格,13.0,78.0,及格,27.0,60.0,及格,,76.6,0,76.6,及格,女,13.660269107301414
54,2018101,小学2018级1班,1,126,24,15.1,100,正常,1325,74.0,及格,10.7,72.0,及格,16.2,100.0,优秀,98.0,80.0,良好,,86.5,0,86.5,良好,男,15.11715797430083
55,2018101,小学2018级1班,1,122,21,14.1,100,正常,1394,76.0,及格,9.5,100.0,优秀,11.0,80.0,良好,98.0,80.0,良好,,86.4,0,86.4,良好,男,14.109110454178985
56,2018101,小学2018级1班,2,126,23,14.5,100,正常,1116,76.0,及格,10.0,100.0,优秀,13.0,78.0,及格,109.0,85.0,良好,,86.8,0,86.8,良好,女,14.487276392038297
57,2018101,小学2018级1班,1,131,26,15.2,100,正常,1031,66.0,及格,11.0,70.0,及格,6.0,70.0,及格,114.0,95.0,优秀,,78.9,0,78.9,及格,男,15.15063224753802
58,2018101,小学2018级1班,2,119,25,17.7,100,正常,792,62.0,及格,11.3,74.0,及格,18.0,95.0,优秀,128.0,100.0,优秀,,87.6,0,87.6,良好,女,17.6541204717181
59,2018101,小学2018级1班,1,122,26,17.5,100,正常,1647,80.0,良好,11.8,62.0,及格,12.0,85.0,良好,58.0,68.0,及格,,78.5,0,78.5,及格,男,17.468422467078742
60,2018101,小学2018级1班,1,118,27,19.4,80,超重,1197,70.0,及格,11.3,66.0,及格,13.0,85.0,良好,59.0,68.0,及格,,74.8,0,74.8,及格,男,19.390979603562197
61,2018101,小学2018级1班,2,132,27,15.5,100,正常,1016,72.0,及格,10.2,90.0,优秀,12.0,76.0,及格,117.0,90.0,优秀,,84.6,0,84.6,良好,女,15.49586776859504
62,2018101,小学2018级1班,2,118,22,15.8,100,正常,1082,74.0,及格,12.0,68.0,及格,15.0,85.0,良好,75.0,72.0,及格,,79.6,0,79.6,及格,女,15.800057454754382
63,2018101,小学2018级1班,2,118,22,15.8,100,正常,833,64.0,及格,11.8,70.0,及格,14.0,80.0,良好,92.0,78.0,及格,,78.2,0,78.2,及格,女,15.800057454754382
64,2018101,小学2018级1班,2,131,43,25.1,60,肥胖,1288,80.0,良好,11.5,72.0,及格,14.0,80.0,良好,84.0,76.0,及格,,74.6,0,74.6,及格,女,25.056814870928264
65,2018101,小学2018级1班,2,121,23,15.7,100,正常,783,62.0,及格,10.9,78.0,及格,17.0,90.0,优秀,90.0,78.0,及格,,82.5,0,82.5,良好,女,15.709309473396626
66,2018101,小学2018级1班,2,119,24,16.9,100,正常,1278,80.0,良好,10.9,78.0,及格,16.0,85.0,良好,106.0,85.0,良好,,85.1,0,85.1,良好,女,16.947955652849377
67,2018101,小学2018级1班,1,117,20,14.6,100,正常,1129,68.0,及格,10.4,76.0,及格,9.0,76.0,及格,90.0,78.0,及格,,78.8,0,78.8,及格,男,14.610271020527433
68,2018101,小学2018级1班,1,115,21,15.9,100,正常,824,60.0,及格,10.0,80.0,良好,9.0,76.0,及格,76.0,74.0,及格,,77.6,0,77.6,及格,男,15.879017013232517
69,2018101,小学2018级1班,1,131,23,13.4,80,低体重,1018,66.0,及格,9.8,90.0,优秀,17.0,100.0,优秀,100.0,80.0,良好,,85.9,0,85.9,良好,男,13.402482372822096
70,2018101,小学2018级1班,2,120,22,15.3,100,正常,838,64.0,及格,9.7,100.0,优秀,15.0,85.0,良好,86.0,76.0,及格,,85.3,0,85.3,良好,女,15.277777777777779
71,2018101,小学2018级1班,1,125,33,21.1,60,肥胖,1463,78.0,及格,12.0,60.0,及格,13.0,85.0,良好,65.0,70.0,及格,,72.2,0,72.2,及格,男,21.12
72,2018101,小学2018级1班,2,118,22,15.8,100,正常,946,68.0,及格,12.4,64.0,及格,16.0,85.0,良好,75.0,72.0,及格,,77.9,0,77.9,及格,女,15.800057454754382
73,2018101,小学2018级1班,2,129,27,16.2,100,正常,838,64.0,及格,10.5,85.0,良好,15.0,85.0,良好,100.0,80.0,良好,,83.1,0,83.1,良好,女,16.224986479177932
74,2018101,小学2018级1班,2,121,23,15.7,100,正常,826,64.0,及格,11.9,68.0,及格,15.0,85.0,良好,71.0,72.0,及格,,78.1,0,78.1,及格,女,15.709309473396626
75,2018101,小学2018级1班,1,124,25,16.3,100,正常,1302,74.0,及格,11.6,64.0,及格,17.0,100.0,优秀,98.0,80.0,良好,,84.9,0,84.9,良好,男,16.259105098855358
76,2018101,小学2018级1班,2,123,22,14.5,100,正常,1048,72.0,及格,11.9,68.0,及格,16.0,85.0,良好,68.0,70.0,及格,,78.9,0,78.9,及格,女,14.541608830722454
77,2018101,小学2018级1班,2,125,24,15.4,100,正常,1337,85.0,良好,13.3,30.0,不及格,16.0,85.0,良好,80.0,74.0,及格,,74.05,0,74.05,及格,女,15.36
78,2018101,小学2018级1班,1,129,27,16.2,100,正常,1421,76.0,及格,13.6,,不及格,19.0,100.0,优秀,92.0,78.0,及格,,72.0,0,72.0,及格,男,16.224986479177932
79,2018101,小学2018级1班,1,135,28,15.4,100,正常,1518,80.0,良好,10.9,70.0,及格,24.0,100.0,优秀,78.0,74.0,及格,,85.8,0,85.8,良好,男,15.363511659807955
80,2018101,小学2018级1班,2,117,21,15.3,100,正常,842,64.0,及格,14.3,,不及格,11.0,74.0,及格,15.0,20.0,不及格,,50.8,0,50.8,不及格,女,15.340784571553804
81,2018101,小学2018级1班,2,128,28,17.1,100,正常,1226,80.0,良好,10.6,80.0,良好,24.0,100.0,优秀,116.0,90.0,优秀,,91.0,0,91.0,优秀,女,17.08984375
82,2018101,小学2018级1班,1,120,21,14.6,100,正常,1789,85.0,良好,11.3,66.0,及格,21.0,100.0,优秀,48.0,66.0,及格,,84.15,0,84.15,良好,男,14.583333333333334
83,2018101,小学2018级1班,2,130,26,15.4,100,正常,1253,80.0,良好,11.2,76.0,及格,26.0,100.0,优秀,50.0,66.0,及格,,85.4,0,85.4,良好,女,15.384615384615383
84,2017101,小学2017级1班,2,135,34,18.7,80,超重,2626,100.0,优秀,10.0,80.0,良好,17.0,90.0,优秀,108.0,78.0,及格,,84.6,0,84.6,良好,女,18.655692729766802
85,2017101,小学2017级1班,1,130,29,17.2,100,正常,1120,64.0,及格,10.0,74.0,及格,7.0,74.0,及格,85.0,74.0,及格,,75.2,0,75.2,及格,男,17.159763313609467
86,2017101,小学2017级1班,2,125,24,15.4,100,正常,935,64.0,及格,10.7,72.0,及格,10.0,74.0,及格,67.0,68.0,及格,,75.4,0,75.4,及格,女,15.36
87,2017101,小学2017级1班,2,121,22,15.0,100,正常,1752,95.0,优秀,11.3,66.0,及格,18.0,95.0,优秀,116.0,80.0,良好,,84.45,0,84.45,良好,女,15.026296018031555
88,2017101,小学2017级1班,2,127,22,13.6,100,正常,526,,,11.2,68.0,及格,9.0,72.0,及格,120.0,85.0,良好,,68.0,0,68.0,及格,女,13.64002728005456
89,2017101,小学2017级1班,2,144,53,25.6,60,肥胖,2000,100.0,优秀,10.8,72.0,及格,12.0,76.0,及格,95.0,76.0,及格,,74.8,0,74.8,及格,女,25.559413580246915
90,2017101,小学2017级1班,2,141,37,18.6,100,正常,2018,100.0,优秀,10.0,80.0,良好,12.0,76.0,及格,125.0,90.0,优秀,,86.2,0,86.2,良好,女,18.61073386650571
91,2017101,小学2017级1班,1,130,27,16.0,100,正常,1900,85.0,良好,9.1,100.0,优秀,3.0,66.0,及格,116.0,90.0,优秀,,87.45,0,87.45,良好,男,15.976331360946745
92,2017101,小学2017级1班,2,131,29,16.9,100,正常,1767,95.0,优秀,9.1,100.0,优秀,10.0,74.0,及格,105.0,78.0,及格,,88.15,0,88.15,良好,女,16.898782122253944
93,2017101,小学2017级1班,2,129,34,20.4,80,超重,1845,100.0,优秀,10.9,70.0,及格,13.0,78.0,及格,121.0,85.0,良好,,79.8,0,79.8,及格,女,20.4314644552611
94,2017101,小学2017级1班,1,128,26,15.9,100,正常,1890,80.0,良好,10.3,72.0,及格,12.0,85.0,良好,119.0,90.0,优秀,,84.9,0,84.9,良好,男,15.869140625
95,2017101,小学2017级1班,2,133,39,22.0,60,肥胖,1702,95.0,优秀,11.5,64.0,及格,7.0,68.0,及格,100.0,76.0,及格,,72.05,0,72.05,及格,女,22.047600203516307
96,2017101,小学2017级1班,1,132,27,15.5,100,正常,1237,68.0,及格,9.9,76.0,及格,8.0,76.0,及格,125.0,95.0,优秀,,82.0,0,82.0,良好,男,15.49586776859504
97,2017101,小学2017级1班,2,139,27,14.0,100,正常,1913,100.0,优秀,11.0,70.0,及格,13.0,78.0,及格,107.0,78.0,及格,,83.2,0,83.2,良好,女,13.974431965219194
98,2017101,小学2017级1班,2,135,29,15.9,100,正常,1030,66.0,及格,10.6,74.0,及格,14.0,80.0,良好,100.0,76.0,及格,,78.3,0,78.3,及格,女,15.912208504801095
99,2017101,小学2017级1班,2,136,30,16.2,100,正常,1181,72.0,及格,10.8,72.0,及格,15.0,85.0,良好,99.0,76.0,及格,,80.2,0,80.2,良好,女,16.219723183391
100,2017101,小学2017级1班,2,137,30,16.0,100,正常,1845,100.0,优秀,9.8,80.0,良好,17.0,90.0,优秀,121.0,85.0,良好,,90.0,0,90.0,优秀,女,15.983803079546059
101,2017101,小学2017级1班,1,128,26,15.9,100,正常,1417,72.0,及格,9.0,100.0,优秀,8.0,76.0,及格,109.0,80.0,良好,,87.0,0,87.0,良好,男,15.869140625
102,2017101,小学2017级1班,1,122,27,18.1,100,正常,1553,76.0,及格,10.1,74.0,及格,14.0,90.0,优秀,133.0,100.0,优秀,3.0,87.7,3,90.7,优秀,男,18.140284869658693
103,2017101,小学2017级1班,1,138,38,20.0,80,超重,1981,85.0,良好,9.4,85.0,良好,5.0,70.0,及格,97.0,78.0,及格,,81.35,0,81.35,良好,男,19.953791220331865
104,2017101,小学2017级1班,1,127,27,16.7,100,正常,1780,80.0,良好,10.8,66.0,及格,9.0,76.0,及格,106.0,80.0,良好,,79.0,0,79.0,及格,男,16.74003348006696
105,2017101,小学2017级1班,1,132,30,17.2,100,正常,1450,72.0,及格,10.2,72.0,及格,11.0,80.0,良好,72.0,70.0,及格,,78.2,0,78.2,及格,男,17.21763085399449
106,2017101,小学2017级1班,2,128,29,17.7,100,正常,1566,85.0,良好,10.4,76.0,及格,23.0,100.0,优秀,114.0,80.0,良好,,86.95,0,86.95,良好,女,17.7001953125
107,2017101,小学2017级1班,1,132,35,20.1,80,超重,1779,80.0,良好,10.5,70.0,及格,6.0,72.0,及格,74.0,70.0,及格,,74.0,0,74.0,及格,男,20.087235996326903
108,2017101,小学2017级1班,2,133,32,18.1,100,正常,1923,100.0,优秀,8.1,100.0,优秀,12.8,78.0,及格,113.0,80.0,良好,,90.6,0,90.6,优秀,女,18.0903386285262
109,2017101,小学2017级1班,2,125,25,16.0,100,正常,1542,85.0,良好,11.0,70.0,及格,14.0,80.0,良好,79.0,70.0,及格,,80.25,0,80.25,良好,女,16.0
110,2017102,小学2017级2班,1,127,27,16.7,100,正常,1610,76.0,及格,10.2,72.0,及格,7.0,74.0,及格,90.0,76.0,及格,,78.8,0,78.8,及格,男,16.74003348006696
111,2017102,小学2017级2班,1,128,23,14.0,100,正常,1837,80.0,良好,9.4,85.0,良好,12.0,85.0,良好,135.0,100.0,优秀,4.0,91.0,4,95.0,优秀,男,14.0380859375
112,2017102,小学2017级2班,2,130,28,16.6,100,正常,1501,85.0,良好,10.5,74.0,及格,11.0,76.0,及格,104.0,78.0,及格,,80.75,0,80.75,良好,女,16.568047337278106
113,2017102,小学2017级2班,1,141,37,18.6,100,正常,2164,90.0,优秀,9.8,76.0,及格,11.0,80.0,良好,93.0,76.0,及格,,82.5,0,82.5,良好,男,18.61073386650571
114,2017102,小学2017级2班,2,126,34,21.4,60,肥胖,1383,78.0,及格,12.0,60.0,及格,9.5,72.0,及格,40.0,60.0,及格,,60.1,0,60.1,及格,女,21.415973796926178
115,2017102,小学2017级2班,2,127,25,15.5,100,正常,1463,80.0,良好,10.6,74.0,及格,9.0,72.0,及格,96.0,76.0,及格,,78.8,0,78.8,及格,女,15.500031000062
116,2017102,小学2017级2班,1,127,23,14.3,100,正常,1720,80.0,良好,10.5,70.0,及格,6.0,72.0,及格,133.0,100.0,优秀,3.0,82.8,3,85.8,良好,男,14.26002852005704
117,2017102,小学2017级2班,1,132,31,17.8,100,正常,1513,74.0,及格,10.9,66.0,及格,8.5,76.0,及格,109.0,80.0,良好,,79.0,0,79.0,及格,男,17.791551882460972
118,2017102,小学2017级2班,1,126,23,14.5,100,正常,1349,70.0,及格,9.8,76.0,及格,4.0,68.0,及格,136.0,100.0,优秀,5.0,82.8,5,87.8,良好,男,14.487276392038297
119,2017102,小学2017级2班,2,137,31,16.5,100,正常,2098,100.0,优秀,10.0,80.0,良好,22.0,100.0,优秀,111.0,80.0,良好,,91.0,0,91.0,优秀,女,16.516596515530928
120,2017102,小学2017级2班,2,143,42,20.5,80,超重,2136,100.0,优秀,12.0,60.0,及格,14.0,80.0,良好,73.0,68.0,及格,,76.0,0,76.0,及格,女,20.53890165778278
121,2017102,小学2017级2班,1,130,37,21.9,80,超重,2008,85.0,良好,10.5,70.0,及格,14.0,90.0,优秀,130.0,100.0,优秀,2.0,83.35,2,85.35,良好,男,21.893491124260354
122,2017102,小学2017级2班,1,132,38,21.8,80,超重,1770,80.0,良好,11.5,60.0,及格,7.0,74.0,及格,95.0,76.0,及格,,73.6,0,73.6,及格,男,21.808999081726352
123,2017102,小学2017级2班,2,125,25,16.0,100,正常,1425,80.0,良好,11.1,68.0,及格,14.0,80.0,良好,89.0,74.0,及格,,79.0,0,79.0,及格,女,16.0
124,2017102,小学2017级2班,1,136,28,15.1,100,正常,1917,85.0,良好,9.9,76.0,及格,1.0,62.0,及格,92.0,76.0,及格,,78.15,0,78.15,及格,男,15.138408304498267
125,2017102,小学2017级2班,2,130,26,15.4,100,正常,1589,85.0,良好,10.5,74.0,及格,18.0,95.0,优秀,110.0,80.0,良好,,85.55,0,85.55,良好,女,15.384615384615383
126,2017102,小学2017级2班,2,135,25,13.7,100,正常,1793,95.0,优秀,10.4,76.0,及格,8.0,70.0,及格,109.0,80.0,良好,,82.25,0,82.25,良好,女,13.717421124828531
127,2017102,小学2017级2班,2,126,24,15.1,100,正常,1889,100.0,优秀,10.3,76.0,及格,10.0,74.0,及格,110.0,80.0,良好,,84.5,0,84.5,良好,女,15.11715797430083
128,2017102,小学2017级2班,1,126,22,13.9,100,正常,1715,80.0,良好,10.4,70.0,及格,9.0,76.0,及格,107.0,80.0,良好,,78.8,0,78.8,及格,男,13.85739480977576
129,2016101,小学2016级1班,2,139,32,16.6,100,正常,2079,100.0,优秀,9.8,76.0,及格,11.2,76.0,及格,112.0,78.0,及格,,83.8,0,83.8,良好,女,16.56228973655608
130,2016101,小学2016级1班,1,144,30,14.5,100,正常,2377,85.0,良好,10.1,70.0,及格,8.5,76.0,及格,84.0,70.0,及格,,78.95,0,78.95,及格,男,14.467592592592593
131,2016101,小学2016级1班,1,140,50,25.5,60,肥胖,2556,95.0,优秀,9.9,72.0,及格,9.6,78.0,及格,121.0,85.0,良好,,78.05,0,78.05,及格,男,25.510204081632658
132,2016101,小学2016级1班,2,144,52,25.1,60,肥胖,2444,100.0,优秀,10.4,70.0,及格,16.0,85.0,良好,80.0,68.0,及格,,75.4,0,75.4,及格,女,25.07716049382716
133,2016101,小学2016级1班,1,142,39,19.3,100,正常,2792,100.0,优秀,8.8,95.0,优秀,5.5,72.0,及格,150.0,100.0,优秀,6.0,91.2,6,97.2,优秀,男,19.34140051577068
134,2016101,小学2016级1班,2,131,27,15.7,100,正常,1756,85.0,良好,11.0,64.0,及格,1.2,40.0,不及格,54.0,60.0,及格,,66.75,0,66.75,及格,女,15.73334887244333
135,2016101,小学2016级1班,2,136,27,14.6,100,正常,2125,100.0,优秀,9.5,80.0,良好,4.7,64.0,及格,123.0,80.0,良好,,77.8,0,77.8,及格,女,14.5977508650519
136,2016101,小学2016级1班,2,140,31,15.8,100,正常,1630,80.0,良好,9.4,80.0,良好,14.2,80.0,良好,125.0,80.0,良好,,83.5,0,83.5,良好,女,15.816326530612248
137,2016101,小学2016级1班,2,136,31,16.8,100,正常,1925,95.0,优秀,9.4,80.0,良好,15.3,85.0,良好,147.0,95.0,优秀,,91.25,0,91.25,优秀,女,16.760380622837367
138,2016101,小学2016级1班,1,122,23,15.5,100,正常,2011,80.0,良好,11.0,60.0,及格,9.0,78.0,及格,108.0,78.0,及格,,79.2,0,79.2,及格,男,15.452835259338888
139,2016101,小学2016级1班,2,134,30,16.7,100,正常,1487,76.0,及格,9.6,78.0,及格,9.8,74.0,及格,103.0,74.0,及格,,79.6,0,79.6,及格,女,16.707507239919803
140,2016101,小学2016级1班,2,137,29,15.5,100,正常,2204,100.0,优秀,9.9,76.0,及格,14.0,80.0,良好,111.0,76.0,及格,,86.4,0,86.4,良好,女,15.45100964356119
141,2016101,小学2016级1班,2,132,30,17.2,100,正常,1961,95.0,优秀,9.7,78.0,及格,16.3,85.0,良好,80.0,68.0,及格,,83.25,0,83.25,良好,女,17.21763085399449
142,2016101,小学2016级1班,2,123,22,14.5,100,正常,1480,76.0,及格,9.6,78.0,及格,17.3,90.0,优秀,155.0,100.0,优秀,3.0,88.0,3,91.0,优秀,女,14.541608830722454
